accuracy,inducer,response_time,subject_nr,valid
1,1,642.375800000038,3,-1
0,1,582.970600000117,3,1
0,1,766.2137000006624,3,-1
1,1,350.1388000003062,3,1
0,1,679.4425999997184,3,1
0,1,482.6933999992907,3,-1
1,1,581.967699999921,3,1
0,1,1052.5940999994054,3,1
1,1,617.1762000015005,3,1
1,1,583.7521999999881,3,1
1,1,743.7085000001825,3,-1
1,1,584.9923999994062,3,-1
1,1,1744.9073000005446,3,1
1,1,561.4720000009984,3,1
1,1,753.4435000000522,3,1
1,1,859.9957999996841,3,1
1,1,711.9672999996692,3,1
1,1,449.90480000153184,3,1
1,1,519.2241000006907,3,1
0,1,842.4752000011504,3,1
1,1,800.3797000003979,3,-1
0,1,587.6248999992386,3,1
1,1,492.2387000005692,3,1
0,1,695.53979999898,3,1
1,1,514.7643999988213,3,1
0,1,685.3954000016674,3,1
1,1,456.6604999997653,3,1
1,1,493.2741000014357,3,1
1,1,408.537899998948,3,1
0,1,679.7867999994196,3,1
1,1,501.73820000048727,3,1
1,1,695.663500000257,3,1
0,1,784.3181999996305,3,-1
1,1,792.1872000005096,3,-1
1,1,560.1597999995574,3,1
1,1,824.0865999995731,3,1
0,1,661.358699999284,3,-1
1,1,505.98050000006333,3,1
0,1,524.5572000001557,3,-1
1,1,657.1352000008337,3,-1
0,1,754.4078000010923,3,1
1,1,545.0060999994166,3,-1
0,1,522.2291999994777,3,1
0,1,556.2396000004373,3,1
1,1,580.1695999996737,3,1
0,1,651.4110000007786,3,1
1,1,481.3544999998994,3,1
1,1,477.88940000068396,3,1
0,1,697.2127999993972,3,1
0,1,540.4603000008501,3,-1
0,1,613.0475000012666,3,-1
0,1,470.9698000010103,3,1
1,1,666.9368000002578,3,1
0,1,359.49859999865294,3,1
1,1,537.4547999999486,3,1
1,1,538.694700000342,3,-1
0,1,669.9073999985121,3,1
0,1,529.857100000605,3,-1
1,1,699.128500000108,3,1
1,1,381.71069999970496,3,1
1,1,708.9367000008933,3,1
0,1,543.6136000007391,3,1
0,1,522.8223000015132,3,1
0,1,375.39330000057817,3,-1
1,1,767.3053000001237,3,-1
0,1,567.9756000009365,3,1
1,1,552.5405999999493,3,1
1,1,545.8608999997377,3,1
1,1,667.0764000010677,3,1
1,1,551.03610000154,3,1
1,1,535.5811000009999,3,1
1,1,658.2377999983728,3,1
0,1,510.1611999999732,3,1
1,1,336.74980000033975,3,1
1,1,578.6973999985494,3,1
0,1,829.2479000007734,3,-1
0,1,1091.1930999993347,3,1
0,1,746.4086000001989,3,1
0,1,379.0067999996245,3,1
1,1,450.9658000008203,3,1
1,1,536.8659000014886,3,1
0,1,426.8073999993503,3,1
0,1,784.7761000012979,3,1
1,1,462.74439999926835,3,1
1,1,578.6299999998882,3,1
0,1,716.556400001049,3,-1
1,1,1024.467500001192,3,1
0,1,870.4147999994457,3,-1
1,1,867.6743000000715,3,1
0,-1,569.7015000013635,3,1
1,-1,562.2888000002131,3,1
0,-1,482.9307999992743,3,1
1,-1,789.5065000010654,3,-1
0,-1,604.7802000008523,3,1
1,-1,648.0424000006169,3,1
1,-1,412.6791999991983,3,1
1,-1,618.6240999996662,3,1
1,-1,687.8935000002384,3,1
1,-1,555.8299000002444,3,1
0,-1,612.4708999991417,3,1
1,-1,650.3815999999642,3,1
1,-1,518.9389999993145,3,1
1,-1,592.2027000002563,3,-1
1,-1,614.8114999998361,3,1
1,-1,381.402800001204,3,1
0,-1,717.3774000005797,3,1
1,-1,727.2795000011101,3,1
0,-1,768.5627000005916,3,1
1,-1,665.1664999984205,3,1
0,-1,885.7528999997303,3,-1
1,-1,585.6947999997064,3,1
1,-1,458.3122000005096,3,1
1,-1,828.2311999993399,3,1
0,-1,794.2088000001386,3,-1
1,-1,504.7993000000715,3,1
1,-1,842.0217000003904,3,-1
1,-1,687.2704999987036,3,1
1,-1,848.5519999992102,3,1
0,-1,989.8447000011802,3,1
1,-1,427.84980000089854,3,1
0,-1,598.4014999996871,3,1
1,-1,533.011999999173,3,1
0,-1,452.95809999946505,3,1
1,-1,388.206999999471,3,1
1,-1,1251.4427000004798,3,-1
1,-1,576.7129999985918,3,1
1,-1,560.0228999992833,3,-1
1,-1,600.6163999987766,3,-1
0,-1,639.1867999993265,3,1
0,-1,444.44400000106543,3,1
1,-1,577.0711000002921,3,-1
1,-1,704.363500000909,3,1
0,-1,2000.0365000013262,3,1
0,-1,890.8234999999404,3,1
1,-1,590.1376000000164,3,-1
1,-1,561.4057999989018,3,1
0,-1,569.9719000002369,3,1
0,-1,605.2571000000462,3,1
1,-1,995.8757999995723,3,1
1,-1,607.8147000009194,3,1
1,-1,584.3843999989331,3,1
1,-1,1495.6676000002772,3,1
0,-1,841.5089000007138,3,1
1,-1,486.2079999996349,3,1
0,-1,1162.1481000008062,3,1
0,-1,842.7089999988675,3,1
0,-1,582.6705000000075,3,-1
1,-1,725.9484999999404,3,1
0,-1,546.5124000003561,3,1
0,-1,808.4380999989808,3,1
1,-1,647.0503000002354,3,1
1,-1,533.572399999015,3,-1
1,-1,479.4511000001803,3,1
0,-1,522.7467000000179,3,-1
1,-1,539.3403999991715,3,1
0,-1,419.99750000052154,3,1
0,-1,481.8766000010073,3,-1
1,-1,582.4826999995857,3,1
1,-1,900.4388000015169,3,1
0,-1,495.02539999969304,3,-1
1,-1,456.98829999845475,3,1
0,-1,605.6060999995098,3,1
1,-1,1011.4745000014082,3,1
1,-1,513.3974999990314,3,-1
1,-1,419.3415000010282,3,1
